0,1
Lengths .................................................................................,1
Pitch (Degrees)......................................................................,2
Pitch (on 12) ..........................................................................,3
Rafters ...................................................................................,4
Azimuth ..................................................................................,5
Area .......................................................................................,6
Roof Penetrations ..................................................................,7
Imagery ..................................................................................,8
Roofing Report Summary .....................................................,11
